Location1,Location2,Driving,Walking
LD3372,QTI,3,17
LD3372,PR7649,4,24
LD3372,LDDM,3,15
SR2852,CN8102,3,18
SR2852,NVT,3,17
VML,LG8407,3,13
PR2490,EIR3,3,16
PR2490,A25A1,3,16
PR2490,BL2486,4,23
FZIN1,RA2810,8,47
VN4702,PS1619,3,14
SRP1,BRVS,2,8
VN3293,CP1464,4,20
VN3293,MT2844,5,28
SRP2,RU2015,3,14
CR2390,ED1099,2,13
CR2390,PCRJ1,2,11
CR2390,FSTO1,3,14
CR2390,TI1747,5,30
CSS2,PB3401,2,11
CSS2,CM2246,2,9
TP8140,AJ3088,2,9
CN8102,STCT,2,9
CN8102,CR2384,4,22
CT4034,QT1838,2,11
CT4034,BSEE1,2,9
TPR,FT1456,3,13
CHOL2,CR2390,3,15
CSC,PR2490,1,6
MP1840,RALG,2,9
MP1840,DC9914,2,8
MP1840,CO7757,5,30
ED1183,FR3216,2,7
ED1183,AR3169,1,7
PR1973,QS1438,4,19
RL2726,PT5539,60,361
RL2726,QT2426,63,374
RL2726,RG1267,2,12
RL2726,SLOP,3,17
GA1,DV2,1,5
RAZ,BN7548,2,10
CSS3,CM2246,2,7
CSS3,HE2601,3,14
VA1377,CL8545,4,20
VA1377,ILHA,3,17
PR1831,ES2500,2,12
RBSS2,SD1832,2,8
AL2335,TC1958,2,8
AL2335,FN1845,19,115
MTT2,MO7922,3,18
CG1903,CN2872,2,11
SI2,AUS,2,9
DJOA4,RFZ1,2,8
DJOA4,BLM,3,14
TXP1,MP1840,4,22
JD2306,PN2307,37,218
JD2306,PDC,65,390
JD2306,PV2109,2,8
DAM,MTT2,1,7
SB2955,CG1903,2,7
MO7922,MRD,2,12
MO7922,ES6335,2,10
MO7922,STP1,2,9
RT3208,QC2515,41,244
281460,CC3195,2,10
281460,EC,3,14
PC3146,CM2246,3,16
SI1,ES6335,2,11
PA9908,EN3031,3,16
PA9908,CH2788,X,7
PA9908,NOC,X,5
RALG,DAM,3,16
RALG,CAZ,4,22
RALG,AUS,2,8
RALG,SI1,2,8
AG2210,BVCM3,4,20
AG2210,AP6420,5,26
RE3339,BF1223,2,11
RE3339,HM1218,3,14
RE3339,LDDM1,2,10
BF1835,PC3146,4,19
BF1835,GD1451,3,17
FB3242,SRGB1,3,16
FL1848,SC1303,3,14
FL1848,CR1603,3,14
FL1848,DL2689,5,27
AL1295,GN2585,5,28
AL1295,ESPL2,X,7
AL1295,ESPL1,X,7
AL1295,QS1717,X,11
PFMA1,AL9726,3,13
PI3389,FO9891,4,19
PI3389,1SJB1,4,21
LDDM1,CSA3,4,21
DL2689,CN2845,3,18
PS1684,CB1286,6,36
PS1684,MF1014,3,14
AP6420,VE3773,2,11
AP6420,CART,3,13
CDL2,LGM2,1,5
QT2426,JMP1,3,16
QT2426,RA1873,44,263
QT2426,ST1095,3,17
MI9473,UV1403,3,14
MI9473,UVDE1,2,11
IS1015,AG1497,2,10
LME1,CR2601,3,17
PP2277,LARZ,3,15
SN2822,SAN2,3,14
HP3242,CV2407,4,22
TLR,TAN,2,7
DSRR1,TR9980,3,17
MO3337,AL2266,4,21
MO3337,IG1492,3,15
RF2899,AP1292,2,9
JP6553,AC2905,2,8
DC9914,FT2297,2,12
HSA5,PA3175,2,11
RPM2,MS7550,3,15
FO9891,BS3492,3,14
VL8486,BR2522,3,13
GJ2027,MN9231,1,6
CP2737,JP6553,3,13
CP2737,E109,2,7
JS1248,MTE,2,8
AK2386,HR2915,2,11
SAN2,CA2892,1,6
GN2585,EL1125,4,19
GN2585,PL1442,X,7
GN2585,ESPL2,X,9
GN2585,QS1717,X,6
GN2585,ESPL1,X,9
GN2585,JM1319,X,9
PD1337,RDA2,2,11
PD1337,MN9231,2,12
CA2892,IS1015,2,11
CA2892,SA6549,3,15
CA2892,JS1248,3,14
AMSE,LE3860,2,10
VDE,UV1403,2,11
MS1,SBNT3,2,9
MS1,1SBNT,2,10
MS1,PL1442,X,8
COEM,VAL,3,13
ST1954,BR2565,2,9
BRVS,RS1089,12,72
VALE,BNV2,2,7
SA6549,SN2822,4,21
SA6549,JS1248,2,11
SP2293,RG2344,2,10
RB8115,RP1027,2,12
RP1027,GA1104,1,6
RG2344,ER2955,3,14
CM3394,VL2574,51,302
IP1771,HS2829,4,20
IP1771,HS1848,4,24
IP1771,HS9437,3,14
ER2955,ST1547,2,11
MC1631,9A2814,2,11
GODS,MT1154,2,10
CDR1,R55640,2,11
RO1677,FRXI3,2,7
SO4917,HM1129,2,12
LD2795,CRRP2,1,6
LD2795,BF1223,3,14
ME1542,MR1546,3,16
ME1542,AM2876,3,17
SC1628,RA1873,56,332
ST1095,RL2726,64,382
VD8079,SS9053,2,11
PL2535,GG2047,3,15
PL2535,GRJ,3,13
BZ2583,RT2110,3,17
FL3318,PL1632,3,13
DR1961,OG1585,3,14
DR1961,AS1358,2,7
SLOP,TV2543,1,5
CV3149,CM1711,2,12
IM6138,SL9302,3,15
IM6138,MAIA3,2,8
IM6138,LA2622,2,7
CM1711,LM1408,2,9
AC2182,PI3236,2,12
SL1176,DT2,2,9
SL1176,DQL1,2,12
SL1176,PD2121,1,4
PI3236,AQ2796,3,17
TCVC,ALPR1,2,8
AQ2796,HI1156,2,10
ES6335,SI2,3,14
LM1408,EN1565,3,16
RCH1,AC1332,4,20
AG1272,AG3063,1,7
AUS,MP1840,3,15
AUS,LI4384,3,14
RZ1532,RRDL1,3,17
FT2297,JN5673,3,17
FT2297,BL2517,4,20
HM1218,LD1103,2,7
HM1218,PR7649,4,20
HM1218,LD3372,2,8
AR2202,AR8113,2,10
RRDL2,RZ1532,3,17
C62220,QS2101,3,16
