Location,Id,Code,Parking
LIDADOR /HOSPITAL,1,LD3372,1
SRA.CAMPANHÃ,2,SR2852,0
VIELA MEIRAL,3,VML,0
PR. DAS FLORES,4,PR2490,0
FRANCOS Z. INDUSTR,5,FZIN1,0
VILA NOVA FOZ CÔA,6,VN4702,0
SRA.PENHA,7,SRP1,0
VIA NORTE (CIRC.),8,VN3293,0
S.RA PENHA,9,SRP2,0
CORUJEIRA,10,CR2390,1
CAPELA SRA. SAÚDE,11,CSS2,0
TV.PIAS,12,TP8140,0
CONTUMIL (METRO),13,CN8102,0
COTOVIAS,14,CT4034,0
TV. PRESA,15,TPR,0
CHAVES OLIVEIRA,16,CHOL2,0
C. SAÚDE CAMPANHÃ,17,CSC,0
MARQUÊS,18,MP1840,1
EDP,19,ED1183,0
PARQUE DE REAL,20,PR1973,0
RIO LEÇA,21,RL2726,1
GUEDES AMORIM,22,GA1,0
R. AZEVEDO,23,RAZ,0
CAPELA S.RA SAÚDE,24,CSS3,0
VALONGO (CENTRO),25,VA1377,0
PESO DA RÉGUA,26,PR1831,0
ROT. DO BESSA,27,RBSS2,0
ALFENA,28,AL2335,0
MONTE TADEU,29,MTT2,0
CALOUSTE GULBENKIAN,30,CG1903,0
STO. ISIDRO,31,SI2,0
D. JOÃO IV,32,DJOA4,0
TEIXEIRA PASCOAIS,33,TXP1,0
JOÃO DE DEUS,34,JD2306,1
D.AMÉLIA,35,DAM,0
SAIBREIRAS,36,SB2955,0
MOREIRA,37,MO7922,0
R. TENENTE VALADIM,38,RT3208,0
28 DE JANEIRO,39,281460,0
PISCINA CAMPANHÃ,40,PC3146,0
S.TO ISIDRO,41,SI1,0
PONTE ARRÁBIDA,42,PA9908,0
R. DA ALEGRIA,43,RALG,0
AGRAMONTE,44,AG2210,0
REVILÃO,45,RE3339,0
BONFIM,46,BF1835,0
FÁBRICA DO COBRE,47,FB3242,0
FLUVIAL,48,FL1848,1
ALAMEDA,49,AL1295,0
PROF.MELO ADRIÃO,50,PFMA1,0
PINHEIRO MANSO,51,PI3389,0
LIDADOR/M.MONIZ,52,LDDM1,0
D.LEONOR,53,DL2689,0
PASSARIAS,54,PS1684,0
ANTÓNIO PATRÍCIO,55,AP6420,0
CANDAL,56,CDL2,0
QUINTA DE MOREIRA,57,QT2426,0
MIMOSAS,58,MI9473,0
ISOLINO SOUSA,59,IS1015,0
LOPES DE MENDONÇA,60,LME1,0
PARQUE DA PRELADA,61,PP2277,0
SOUSA NOGUEIRA,62,SN2822,0
HOSPITAL DA PRELADA,63,HP3242,0
TV. LOUREIRO,64,TLR,0
DANIEL SERRÃO,65,DSRR1,0
MONCHIQUE,66,MO3337,0
RIO DA FONTE,67,RF2899,0
JOSÉ PORTUGAL,68,JP6553,0
DOZE CASAS,69,DC9914,0
HOSP. ST. ANTÓNIO,70,HSA5,0
R.PARTICULAR MONSANTO,71,RPM2,0
FOCO,72,FO9891,0
VILARINHA,73,VL8486,0
GOMES JÚNIOR,74,GJ2027,0
CAMPOLINHO,75,CP2737,0
JOSÉ POÇAS,76,JS1248,0
AKI,77,AK2386,0
STO.  ANTÓNIO,78,SAN2,0
GUINDAIS,79,GN2585,0
PEDREIRAS,80,PD1337,0
CABINE,81,CA2892,0
A.SANTOS (ESCOLAS),82,AMSE,0
VILA D ESTE,83,VDE,0
MOUZINHO SILVEIRA,84,MS1,0
COELHO MOREIRA,85,COEM,0
STA. JUSTA,86,ST1954,0
BAIRRO DO VISO,87,BRVS,0
VALADARES (ESCOLAS),88,VALE,0
STO. ANTÓNIO,89,SA6549,0
S.RA DA PAZ,90,SP2293,0
R.BOA HORA,91,RB8115,0
